2020-12-13 16:17:00,281 : INFO : Video Imported: C:\Users\Mahe\Documents\important\college\internships\genzellab\projects\hm_tracking\vids\stitched.mp4
2020-12-13 16:17:36,780 : INFO : Recording Trial 1
2020-12-13 16:17:59,108 : INFO : The rat position is: (454, 103) @ 314
2020-12-13 16:17:59,229 : INFO : The rat position is: (451, 106) @ 314
2020-12-13 16:17:59,341 : INFO : The rat position is: (450, 109) @ 314
2020-12-13 16:17:59,450 : INFO : The rat position is: (445, 116) @ 314
2020-12-13 16:17:59,563 : INFO : The rat position is: (444, 117) @ 314
2020-12-13 16:17:59,665 : INFO : The rat position is: (441, 116) @ 314
2020-12-13 16:17:59,785 : INFO : The rat position is: (442, 114) @ 314
2020-12-13 16:17:59,896 : INFO : The rat position is: (426, 119) @ 314
2020-12-13 16:18:00,018 : INFO : The rat position is: (419, 118) @ 314
2020-12-13 16:18:00,139 : INFO : The rat position is: (414, 118) @ 320
2020-12-13 16:18:00,240 : INFO : The rat position is: (407, 117) @ 320
2020-12-13 16:18:00,341 : INFO : The rat position is: (406, 117) @ 320
2020-12-13 16:18:00,442 : INFO : The rat position is: (402, 119) @ 320
2020-12-13 16:18:00,552 : INFO : The rat position is: (395, 120) @ 320
2020-12-13 16:18:00,655 : INFO : The rat position is: (392, 125) @ 320
2020-12-13 16:18:00,755 : INFO : The rat position is: (387, 130) @ 320
2020-12-13 16:18:00,856 : INFO : The rat position is: (382, 142) @ 320
2020-12-13 16:18:00,957 : INFO : The rat position is: (376, 152) @ 321
2020-12-13 16:18:01,069 : INFO : The rat position is: (374, 153) @ 321
2020-12-13 16:18:01,180 : INFO : The rat position is: (373, 156) @ 321
2020-12-13 16:18:01,311 : INFO : The rat position is: (365, 160) @ 321
2020-12-13 16:18:01,413 : INFO : The rat position is: (370, 160) @ 321
2020-12-13 16:18:01,534 : INFO : The rat position is: (372, 179) @ 321
2020-12-13 16:18:01,656 : INFO : The rat position is: (377, 188) @ 321
2020-12-13 16:18:01,777 : INFO : The rat position is: (382, 195) @ 322
2020-12-13 16:18:01,889 : INFO : The rat position is: (381, 190) @ 322
2020-12-13 16:18:01,999 : INFO : The rat position is: (383, 199) @ 322
2020-12-13 16:18:02,110 : INFO : The rat position is: (384, 202) @ 322
2020-12-13 16:18:02,241 : INFO : The rat position is: (386, 205) @ 322
2020-12-13 16:18:02,332 : INFO : The rat position is: (385, 202) @ 322
2020-12-13 16:18:02,463 : INFO : The rat position is: (385, 205) @ 322
2020-12-13 16:18:02,574 : INFO : The rat position is: (384, 201) @ 322
2020-12-13 16:18:02,705 : INFO : The rat position is: (385, 207) @ 322
2020-12-13 16:18:02,816 : INFO : The rat position is: (385, 219) @ 322
2020-12-13 16:18:02,937 : INFO : The rat position is: (385, 217) @ 322
2020-12-13 16:18:03,048 : INFO : The rat position is: (377, 227) @ 322
2020-12-13 16:18:03,158 : INFO : The rat position is: (372, 237) @ 323
2020-12-13 16:18:03,261 : INFO : The rat position is: (370, 239) @ 323
2020-12-13 16:18:03,382 : INFO : The rat position is: (367, 246) @ 323
2020-12-13 16:18:03,523 : INFO : The rat position is: (362, 253) @ 323
2020-12-13 16:18:03,634 : INFO : The rat position is: (363, 253) @ 323
2020-12-13 16:18:03,756 : INFO : The rat position is: (365, 249) @ 323
2020-12-13 16:18:03,877 : INFO : The rat position is: (365, 250) @ 323
2020-12-13 16:18:03,978 : INFO : The rat position is: (367, 248) @ 323
